Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
4595;Parc du Petit Port;Parc;Boulevard des Tribunes;44300;Nantes;47.24550301199997, -1.558412555000018;http://www.jardins.nantes.fr;"Ligne C2 Pont du Cens ; Ligne 25 Hippodrome";;NON;NON;NON;NON;NON;OUI;NON;NON;NON;OUI
1531;Square Pascal Lebée;Parc;Rue Dugommier;44000;Nantes;47.216107109999996, -1.5635025010000163;http://www.jardins.nantes.fr;Delorme Ligne 22 51 54 F;;NON;NON;NON;OUI;NON;OUI;NON;NON;NON;NON
4588;Jardin des Nectars;Parc;Petite Avenue de Longchamp;44300;Nantes;47.23806853399998, -1.5826193600000238;http://www.jardins.nantes.fr;Ligne 3 Beauséjour;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;OUI
4590;Parc Pablo Picasso;Parc;Mail Pablo Picasso;44000;Nantes;47.21503142099999, -1.536421603000008;http://www.jardins.nantes.fr;Ligne C3 Picasso;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;NON;OUI
1523;Square Jean-Baptiste Barre;Parc;Rue Jean Baptiste Barré;44000;Nantes;47.22274689699998, -1.527543879999996;http://www.jardins.nantes.fr;Ligne 1 Hopital Bellier;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4415;Jardin des Fonderies;Parc;Rue Louis Joxe;44200;Nantes;47.20562981500001, -1.5448420160000182;http://www.jardins.nantes.fr;Lignes 2 3 Wattignies;;NON;OUI;NON;NON;NON;OUI;NON;OUI;NON;NON
1026;Parc du Plessis Tison;Parc;1 Boulevard Jules Verne;44300;Nantes;47.23506576, -1.5361470760000202;http://www.jardins.nantes.fr;Ligne C2 Place du cirque/ Ligne C1 Rond point de paris;;OUI;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;OUI
4579;Square du Lait de Mai;Parc;Passage Berthault;44000;Nantes;47.212117288, -1.5483635229999777;http://www.jardins.nantes.fr;Ligne 2 Aimé Delrue;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;NON
1514;Square Augustin Fresnel;Parc;Rue Augustin Fresnel;44300;Nantes;47.242997471000024, -1.5229314459999728;http://www.jardins.nantes.fr;Fresnel Ligne 21 11;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4592;Square Pilotière;Parc;Boulevard de la Pilotière;44300;Nantes;47.24499151200001, -1.5247319029999744;http://www.jardins.nantes.fr;Ligne 11 Dunant;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
4958;Pataugeoire du Clos-Toreau;Parc;Rue de Saint Jean de Luz;44200;Nantes;47.19472221799998, -1.5280383609999717;;;;;;;;;;;;;
4582;Square des Courtils;Parc;Rue des Courtils;44100;Nantes;47.20043817499999, -1.5933392759999947;http://www.jardins.nantes.fr;Ligne 1 Gare maritime et ligne 81 Gare de Chantenay;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1517;Square Commandant Aubin;Parc;Quai du Marquis d'Aiguillon;44100;Nantes;47.201897707, -1.5768918960000065;http://www.jardins.nantes.fr;;;;;;;;;;;;
3208;Square Charles Housset;Parc;Rue Charles Housset;44100;Nantes;47.202643937999994, -1.6083776240000134;http://www.jardins.nantes.fr;Ligne 1 Lauriers;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4605;Jardin des Quatre Jeudis;Parc;Passage des Tauzins;44300;Nantes;47.265744568, -1.5202138880000007;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4604;Jardin du Nadir;Parc;Rue du Nadir;44300;Nantes;47.267014768000024, -1.51896582400002;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
5665;Le Jardin Extraordinaire;Parc;1 Rue Joseph Cholet;44100;Nantes;47.20018378100002, -1.5808838419999915;;;;;;;;;;;;;
1534;Square Villebois Mareuil;Parc;Allée de la Bourse;44000;Nantes;47.21241709200001, -1.5589719939999895;http://www.jardins.nantes.fr;;;;;;;;;;;;
1016;Jardin des Plantes;Parc;Rue Stanislas Baudry;44000;Nantes;47.21967020599999, -1.5430812590000187;http://www.jardins.nantes.fr;Gare SNCF Lignes 1;Camelia, Epiphytes, Cactées;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI
3210;Square de la Halvêque;Parc;Rue Léon Serpollet;44300;Nantes;47.25447677400001, -1.5208124729999781;http://www.jardins.nantes.fr;Ligne 1 Halvêque;;NON;OUI;OUI;NON;OUI;OUI;NON;NON;NON;OUI
3213;Square Louis Bureau;Parc;Place de la Monnaie;44000;Nantes;47.213007593999976, -1.5651121710000098;http://www.jardins.nantes.fr;Ligne C3 Copernic;;NON;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
1521;Square du Maquis de Saffré;Parc;Rue Sully;44000;Nantes;47.22225945500003, -1.552084829000023;http://www.jardins.nantes.fr;Ligne 2 Saint Mihiel;;NON;NON;NON;NON;OUI;OUI;NON;NON;NON;NON
3212;Square Faustin Hélie;Parc;Rue Faustin Hélie;44000;Nantes;47.218059262, -1.563925557999994;http://www.jardins.nantes.fr;Ligne 54 St Nicolas;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
4598;Place Wattignies;Parc;Rue de l'Echappée;44200;Nantes;47.203761224000004, -1.5480403029999934;http://www.jardins.nantes.fr;Wattignies Ligne 2;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3223;Parc Say;Parc;Rue Désiré Colombe;44100;Nantes;47.21250045800002, -1.5684381149999922;http://www.jardins.nantes.fr;Jean V Ligne 11;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4578;Square Jean Heurtin;Parc;Square Jean Heurtin;44000;Nantes;47.21494116100001, -1.5447281489999796;http://www.jardins.nantes.fr;Ligne 1 Duchesse Anne Château ou ligne C3 Lieu Unique;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1499;Square Jean Le Gigant;Parc;40 Rue Maurice Terrien;44100;Nantes;47.204126652000014, -1.593135984000014;http://www.jardins.nantes.fr;Cabrol Ligne 70;;NON;OUI;OUI;OUI;NON;OUI;OUI;NON;OUI;NON
4577;Square Gabriel Chéreau;Parc;Rue d'Ancin;44000;Nantes;47.21110856199999, -1.5627866660000223;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
5806;Parc de Bottière-Chesnaie;Parc;Mail Haroun Tazieff;44300;Nantes;47.24154071700002, -1.5134921389999931;;;;;;;;;;;;;
1344;Parc de la Boucardière;Parc;54 Rue de l'Abbaye;44100;Nantes;47.20115274800003, -1.5976591560000202;http://www.jardins.nantes.fr;Bois Hardy Ligne 25 Gare de chantenay Ligne 81;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
4603;Jardin des Farfadets;Parc;Allée de Portricq;44300;Nantes;47.266913620000025, -1.5215066520000278;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3220;Parc de Broussais;Parc;Boulevard Louis Millet;44300;Nantes;47.22660635, -1.5218530469999791;http://www.jardins.nantes.fr;"Toutes Aides Lignes 12 70 ; Mairie de Doulon Ligne 1";;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1527;Square Jean-Baptiste Daviais;Parc;Place de la Petite Hollande;44000;Nantes;47.211902416999976, -1.5579172569999855;http://www.jardins.nantes.fr;Commerce Lignes 11 32 51 52 54 CDB;;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
4607;Square Barbara;Parc;Rue de la Grange au Loup;44300;Nantes;47.26608304400003, -1.523076419000006;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4585;Square Zac Pilleux Nord;Parc;Boulevard Benoit Frachon;44100;Nantes;47.20763689500001, -1.5803692129999831;http://www.jardins.nantes.fr;Ligne 1 Du Chauffault;;;;;;;;;;;
1518;Square Commandant Lacroix;Parc;Rue de l'Hermitage;44100;Nantes;47.20346237199999, -1.5759191070000043;http://www.jardins.nantes.fr;;;;;;;;;;;;
3222;Square Jules Bréchoir;Parc;Rue Jules Bréchoir;44000;Nantes;47.22524657299999, -1.522567572000014;http://www.jardins.nantes.fr;Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1;;NON;NON;NON;NON;OUI;NON;OUI;NON;NON;NON
4599;Place de la Guirouée;Parc;Place de la Guiroué;44200;Nantes;47.20847208800001, -1.527572163000002;http://www.jardins.nantes.fr;Ligne C2 ou ligne 2 Place du Cirque;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
1522;Square Edit de Nantes;Parc;Place de l'Edit de Nantes;44100;Nantes;47.21435363699999, -1.5677651240000046;http://www.jardins.nantes.fr;Edit de Nantes Lignes 21 23 24 56 H;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
1524;Square Etienne Destranges;Parc;Place Edouard Normand;44000;Nantes;47.21919126, -1.5637600559999782;http://www.jardins.nantes.fr;Jean Jaurès Ligne 3;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
2372;Parc Floral de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.26217104900002, -1.5330595020000146;http://www.jardins.nantes.fr;<p>Chronobus C6 - arrêt Roseraie<br />Tram Ligne 1 - arrêt Beaujoire<br />Bus 75 - arrêt Roseraie</p>;<p>Magnolias, Iris, Bruyères, Vivaces, Rosiers</p>;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
4606;Jardin du Zenith;Parc;Rue Tristan Corbière;44300;Nantes;47.268808315, -1.51682800399999;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4787;Jardin des 5 sens;Parc;Rue Gaëtan Rondeau;44200;Nantes;47.20716353400002, -1.533640326000011;http://www.jardins.nantes.fr;Ligne 1 Duchesse anne château / Ligne 4 Ile de Nantes;;NON;OUI;NON;OUI;OUI;OUI;NON;NON;OUI;NON
4596;Parc des Chantiers;Parc;Boulevard Léon Bureau;44200;Nantes;47.20678428399998, -1.5662161729999866;;<p>Ligne 1 Chantiers Navals</p>;"<p>Mise à disposition d'un distributeur ""Zéro Tabou"" de <strong>protections périodiques gratuites</strong>, dans les sanitaires publics à proximité des Nefs.<br />Pour en savoir plus, <a href=""https://metropole.nantes.fr/zerotabou"">cliquez ici</a></p><p> </p>";NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
4418;Jardin Mabon;Parc;Quai François Mitterrand;44200;Nantes;47.20752445400001, -1.5596282210000254;http://www.jardins.nantes.fr;Ligne 1 Chantiers Navals;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;OUI
4542;Le Parc des Oblates;Parc;Rue de la Brianderie;44100;Nantes;47.20040787200003, -1.585057154000026;http://www.jardins.nantes.fr;"Ligne 54 St Nicolas ; Ligne C1 Hérelle";;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
1526;Square Gaston Michel;Parc;Boulevard des Américains;44300;Nantes;47.234966359, -1.5715036440000176;http://www.jardins.nantes.fr;Américains Ligne C2;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
1520;Square des Combattants d'Afrique du Nord;Parc;Rue de la Brasserie;44100;Nantes;47.20923550399999, -1.5707567439999934;http://www.jardins.nantes.fr;René Bouhier Ligne 11;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;NON
1513;Square Amiral Halgand;Parc;Place de l'Hôtel de Ville;44000;Nantes;47.217388805999974, -1.5544883819999882;http://www.jardins.nantes.fr;Hôtel de Ville Lignes 11 12 21 22 23 C LU;;NON;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON
4594;Square Proust Bergson;Parc;Rue Henri Bergson;44300;Nantes;47.25438482599998, -1.5708382139999912;http://www.jardins.nantes.fr;Ligne C2 Bout des Pavés;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
155;Square Ile de Versailles;Parc;Quai Henri Barbusse;44000;Nantes;47.226122944999986, -1.5543289020000088;http://www.jardins.nantes.fr;Saint Mihiel Ligne 2;;NON;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
1533;Square Vertais;Parc;Rue Petite Biesse;44200;Nantes;47.202467919000014, -1.5465816500000074;http://www.jardins.nantes.fr;Mangin 2 3 - Bourgault Ducou 42 B - bus C5 vincent gâche;;NON;OUI;NON;OUI;OUI;OUI;NON;NON;OUI;OUI
1019;Parc de Procé;Parc;Boulevard des Anglais;44000;Nantes;47.22392700500001, -1.5825276090000102;http://www.jardins.nantes.fr;<p>Ligne C3 Procé</p>;"<p>Mise à disposition d'un distributeur ""Zéro Tabou"" de protections périodiques gratuites, dans les sanitaires situées face à la mare.<br />Pour en savoir plus, <a href=""https://metropole.nantes.fr/zerotabou"">cliquez ici</a></p>";OUI;OUI;NON;OUI;OUI;NON;OUI;NON;OUI;NON
1515;Square Bénoni Goulin;Parc;Rue du Scorff;44200;Nantes;47.20215614, -1.5515464079999788;http://www.jardins.nantes.fr;MIN Ligne 26;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3224;Square du Vieux Parc de Sèvres;Parc;Bas Chemin de Vertou;44200;Nantes;47.18297594400002, -1.5199822629999744;http://www.jardins.nantes.fr;Ligne 1 Duchenne Anne-Chateau / Ligne 4 Bourdonnière;;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON
4600;Aire du Stade de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.25784177899999, -1.5249530849999928;http://www.jardins.nantes.fr;Beaujoire Ligne 1;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1440;Parc de Beaulieu;Parc;Cours de la Prairie d'Amont;44200;Nantes;47.212430799, -1.520734076999986;http://www.jardins.nantes.fr;Hôtel de région bus 26;;NON;OUI;NON;NON;OUI;OUI;NON;OUI;OUI;OUI
1021;Parc de la Gaudinière;Parc;227 Boulevard Robert Schuman;44300;Nantes;47.24433031500001, -1.5786627819999808;http://www.jardins.nantes.fr;Ligne C2 Berlioz;112 espèces de Rhododendrons et 47 de Camellias;OUI;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
4589;Square de Hongrie;Parc;Rue de Chypre;44000;Nantes;47.21622735300002, -1.5239710299999842;http://www.jardins.nantes.fr;Ligne C3 Hongrie;;;;;;;;;;;
3205;Square du Prinquiau;Parc;Rue du Prinquiau;44100;Nantes;47.212158423999995, -1.5870944540000096;http://www.jardins.nantes.fr;Conventions Lignes 11 70;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;OUI
4476;Jardin Confluent;Parc;Rue Dos d'Ane;44200;Nantes;47.19673618899998, -1.5452256570000031;http://www.jardins.nantes.fr;Arrêt Pirmil Lignes 2 3;Ouvert 24h/24;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1022;Parc de la Noé Mitrie;Parc;Boulevard de Doulon;44000;Nantes;47.227481012, -1.5265750919999732;http://www.jardins.nantes.fr;Mitrie Ligne 11;;NON;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;NON
1519;Square Washington;Parc;Boulevard des Américains;44300;Nantes;47.23321879399998, -1.5743768280000268;http://www.jardins.nantes.fr;;;;;;;;;;;;
4506;Square Louis Feuillade;Parc;Rue Jacques Feyder;44100;Nantes;47.23043376700002, -1.5854869849999886;http://www.jardins.nantes.fr;Ligne 54 Petit Carcouet;;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
4586;Square Saint Pasquier;Parc;Place Emile Fritsch;44000;Nantes;47.228755748000026, -1.566077292999978;http://www.jardins.nantes.fr;Ligne C2 Le Goffic;;NON;NON;NON;OUI;OUI;OUI;NON;NON;NON;NON
4601;Espace de jeux de Belle Ile;Parc;Rue de Coetquelfen;44300;Nantes;47.245005505999984, -1.541810063000014;http://www.jardins.nantes.fr;Ligne 2 Michelet / Ligne 23 Bonneville;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
4583;Square Marcel Moisan;Parc;Rue de l'Hermitage;44100;Nantes;47.20208672000001, -1.5773175229999765;http://www.jardins.nantes.fr;Lechat Ligne 21 H;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4587;Square Félix Thomas;Parc;Rue Toulmouche;44000;Nantes;47.23098555299998, -1.553230917999997;http://www.jardins.nantes.fr;Ligne 2 St Félix;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;NON
1506;Parc des Capucins;Parc;Rue Noire;44000;Nantes;47.22529364100001, -1.5629966810000155;http://www.jardins.nantes.fr;Poitou Ligne 3 ou Ligne C2 Brunneau;;NON;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
4591;Square Saint François;Parc;Rue Saint François;44000;Nantes;47.218214628, -1.5454755810000051;http://www.jardins.nantes.fr;Duchesse Anne-Chateau Ligne 1;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;NON;NON
3207;Square du Bois de la Musse;Parc;Rue Etienne Coutan;44100;Nantes;47.204560257000026, -1.6105278090000184;http://www.jardins.nantes.fr;Bernanos Lignes 25 H 74 ou ligne 1 Romain Rolland;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3204;Parc des Dervallières;Parc;Rue Louis Le Nain;44100;Nantes;47.22496123799999, -1.5950487119999934;http://www.jardins.nantes.fr;"Ligne 54 Grand Carcouet; Ligne 25 Le nain";;NON;NON;NON;NON;OUI;OUI;NON;NON;NON;NON
1529;Square Marcel Launay;Parc;Boulevard Général de Gaulle;44200;Nantes;47.20369808200002, -1.5359199839999746;http://www.jardins.nantes.fr;Ile de Nantes Ligne 4;;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON
4593;Square de la Place Basse Mar;Parc;Place de la Basse Mar;44200;Nantes;47.208045371000026, -1.5252713290000202;http://www.jardins.nantes.fr;Pompidou 24 52 B Bus C5;;NON;OUI;OUI;NON;OUI;OUI;OUI;NON;NON;NON
3217;Square Gustave Roch;Parc;22 Boulevard Gustave Roch;44200;Nantes;47.20509154400003, -1.5499660099999915;http://www.jardins.nantes.fr;"Wattignies Lignes 2 ; 3";;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
3209;Belvédère Sainte Anne;Parc;Rue de l'Hermitage;44100;Nantes;47.20145181800001, -1.5775880200000074;;;;;;;;;;;;;
1530;Square Maurice Schwob;Parc;3 Rue des Garennes;44100;Nantes;47.20115187900001, -1.5811743979999733;http://www.jardins.nantes.fr;Ligne 26 St Nicolas/ Ligne C1 Lusanças;;NON;OUI;NON;OUI;NON;NON;OUI;NON;OUI;NON
4584;Square Canclaux;Parc;Place Canclaux;44100;Nantes;47.21440703500002, -1.5744817539999758;http://www.jardins.nantes.fr;Canclaux Lignes 21 23 24 H;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
3216;Square Eglise de La Madeleine;Parc;Boulevard Gustave Roch;44200;Nantes;47.20515258099999, -1.5486900249999849;http://www.jardins.nantes.fr;;;;;;;;;;;;
4576;Douves du Chateau des Ducs;Parc;Rue des Etats;44000;Nantes;47.215616856, -1.550132734999977;http://www.jardins.nantes.fr;<p>Tramway ligne 1 - arrêt Duchesse Anne<br />Busway ligne 4 - arrêt Duchesse Anne<br />Bicloo - station 50 Château</p>;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1512;Square de la Marseillaise;Parc;47 Rue du Bois Hercé;44100;Nantes;47.20783292499999, -1.5923497549999865;http://www.jardins.nantes.fr;Marseillaise Ligne 11 ou Ligne 1 Egalité;;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON
1532;Square Toussaint Louverture;Parc;Rue des Usines;44100;Nantes;47.194884883999976, -1.6161157369999728;http://www.jardins.nantes.fr;Ligne 1 gare maritime / Ligne E1 Gare de Chantenay;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4087;Parc de l'Amande;Parc;Rue Eugène Thomas;44300;Nantes;47.262856242, -1.5709898229999908;;;;;;;;;;;;;
4575;Cours Cambrone;Parc;Cours Cambronne;44000;Nantes;47.211941696999986, -1.5631886610000265;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON
1598;Square des Martyrs Irlandais;Parc;Rue de l'Adour;44100;Nantes;47.20794786099998, -1.6101853289999895;http://www.jardins.nantes.fr;Romain Rolland Ligne 1;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;OUI;NON
1020;Parc du Grand Blottereau;Parc;Boulevard Auguste Péneau;44300;Nantes;47.228394783, -1.510025784999982;http://www.jardins.nantes.fr;Tramway Ligne 1 ou bus lignes 12 58 75 82 92;Canna, plantes tropicales;OUI;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
1508;Jardin d'Enfants de Procé;Parc;Rue des Dervallières;44100;Nantes;47.222289579000005, -1.5815620710000076;http://www.jardins.nantes.fr;Ligne C3 Procé;;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;NON
1550;Parc de la Moutonnerie;Parc;Rue Francisco Ferrer;44000;Nantes;47.221160886999996, -1.5330679489999852;http://www.jardins.nantes.fr;Ligne 1 Moutonnerie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1018;Parc de Malakoff;Parc;Rue de la Révolution des Oeillets;44000;Nantes;47.21851405000001, -1.5175650680000103;http://www.jardins.nantes.fr;Bus C3 Arrêt La Roche;;NON;NON;NON;NON;OUI;OUI;NON;NON;OUI;NON
1025;Square Elisa Mercoeur;Parc;1 Cours Commandant d'Estienne d'Orves;44000;Nantes;47.214355668999985, -1.5510691700000052;http://www.jardins.nantes.fr;Bouffay Ligne 1;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4417;Square de Bollardière Pitre de Lisle;Parc;Rue du Général de Bollardière;44200;Nantes;47.20930418400002, -1.5294719629999918;;;;;;;;;;;;;
2641;Square des Maraîches;Parc;Rue de la Haluchère;44300;Nantes;47.24627462400002, -1.5163231230000065;http://www.jardins.nantes.fr;Ligne 1 Pin Sec;;NON;OUI;NON;NON;OUI;NON;OUI;OUI;OUI;NON
4580;Square Psalette;Parc;Impasse Saint Laurent;44000;Nantes;47.21779103799997, -1.5499393939999777;http://www.jardins.nantes.fr;Ligne C2 Cirque Marais + Ligne 12 Saint Pierre;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
1017;Parc de la Chantrerie;Parc;95 Route de Gachet;44300;Nantes;47.286413176999986, -1.5243799190000118;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Grandes Ecoles;;NON;OUI;NON;OUI;OUI;OUI;NON;OUI;NON;OUI
