Identifiant;Identifiant;Nom;Pôle;Commune;Adresse;Complément d’adresse;Marque;Type;Complément type;Automatique;Accessibilité PMR;Propriétaire;Exploitant;Nettoiement;Maintenance;Horaires d’ouverture;Motif;Jours de marché;Géométrie
44;SP_NM_24_003;Portillon;Loire Sèvre Vignoble;Vertou;Rue du Pré Rond;sur le parking, Lieu-dit Portillon;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;;;"{""coordinates"": [-1.4682535549249223, 47.149388428457094], ""type"": ""Point""}"
51;SP_NM_12_001;Cellier;Erdre et Loire;Mauves-sur-Loire;Rue du Cellier;parking face à l'école;;;;;;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.3924675610641104, 47.296670610371656], ""type"": ""Point""}"
52;SP_NM_13_002;Vieux Doulon;Erdre et Loire;Nantes;37, Rue de Rivière;Place du Vieux Doulon;SAGELEC;Mobilier;WC siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;dimanche;"{""coordinates"": [-1.5027685918031843, 47.234940141849464], ""type"": ""Point""}"
58;SP_C_13_004;Beaujoire (Maison de la Rose);Erdre et Loire;Nantes;Parc floral de la Beaujoire;Route de St Joseph - Maison de la Rose;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;;;;"{""coordinates"": [-1.5346044359260338, 47.26189531354797], ""type"": ""Point""}"
71;SP_NM_06_004;Charles De Gaulle;Loire Chézine;Couëron;Place Charles de Gaulle;;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;jeudi;"{""coordinates"": [-1.7275595702907816, 47.21116672995271], ""type"": ""Point""}"
97;SP_C_13_013;Louis Bureau;Nantes Loire;Nantes;Square du Muséum Louis Bureau;Place de la Monnaie;;Bâti;siège/urinoirs;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5647452612021011, 47.21284779087007], ""type"": ""Point""}"
110;SP_NM_13_024;Viarme;Nantes Ouest;Nantes;Place Viarme;face n°3;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;restreint;Présence d'un marché;samedi;"{""coordinates"": [-1.5618513720010654, 47.220411222577354], ""type"": ""Point""}"
113;SP_C_13_019;Procé Vallon;Nantes Ouest;Nantes;Parc de Procé - Vallon;Rue des Dervallières - allée centrale;;;WC siège;non;non;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.583300653361032, 47.22355683784732], ""type"": ""Point""}"
126;SP_C_13_028;Potager tropical;Erdre et Loire;Nantes;Parc du Grand Blottereau;potager tropical;;Bâti;;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5122751073517104, 47.226652422278995], ""type"": ""Point""}"
136;SP_C_13_036;Square Daviais;Nantes Loire;Nantes;Square Jean Baptiste Daviais;Cours Franklin Roosevelt;;;;;;;;;;;;;"{""coordinates"": [-1.558670541225857, 47.211905781088674], ""type"": ""Point""}"
140;SP_C_03_004;Cimetière Bourg;Sud-Ouest;Bouguenais;Rue du Cimetière;dans le cimetière;;Bâti;;non;non;Commune;Commune;Commune;Commune;restreint;Cimetière;;"{""coordinates"": [-1.6241980596865346, 47.176390495077655], ""type"": ""Point""}"
10;SP_C_04_001;Mairie;Sud-Ouest;Brains;Place de la Mairie;Mairie;;Bâti;;non;;Commune;Commune;Commune;Commune;;Centre ville;;"{""coordinates"": [-1.7223608708175036, 47.16960665646889], ""type"": ""Point""}"
22;SP_C_15_003;8 mai;Loire Sèvre Vignoble;Rezé;Place du 8 Mai 1945;face au n°1 Rue Victor Hugo;;Bâti;urinoirs;oui;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Présence d'un marché;vendredi;"{""coordinates"": [-1.5515514615879973, 47.189100097915855], ""type"": ""Point""}"
25;SP_C_15_006;Cimetière St Pierre;Loire Sèvre Vignoble;Rezé;Cimetière St Pierre;Rue Victor Hugo;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5650322829160737, 47.19050780200589], ""type"": ""Point""}"
30;SP_C_15_011;Stade Robinière;Loire Sèvre Vignoble;Rezé;Stade Robinière;62 Rue de la Robinière;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5320469167307957, 47.16471780372746], ""type"": ""Point""}"
33;SP_NM_20_001;Poste;Loire Sèvre Vignoble;Saint-Sébastien-sur-Loire;Place Cambronne;jouxte le labo, face à la poste;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;mardi;"{""coordinates"": [-1.5051440379826033, 47.20743611570344], ""type"": ""Point""}"
42;SP_C_24_003;Capitainerie;Loire Sèvre Vignoble;Vertou;Chemin des Baillorges;Quai de Chaussée des Moines, derrière la capitainerie;;;siège/urinoirs;;oui;Commune;Commune;Commune;Commune;24/24;;;"{""coordinates"": [-1.4799223415331992, 47.16785510895223], ""type"": ""Point""}"
43;SP_NM_24_002;Eglise;Loire Sèvre Vignoble;Vertou;Impasse André Gouin;derrière léglise St Martin;SAGELEC;;;;oui;Nantes Métropole;Commune;Commune;Commune;journée;;;"{""coordinates"": [-1.4723834236208282, 47.16833168593337], ""type"": ""Point""}"
55;SP_C_05_001;Place du marché;Erdre et Loire;Carquefou;Place de la Libération;Espace Mellay;;;;;;Commune;Commune;Commune;Commune;restreint;;jeudi;"{""coordinates"": [-1.4913917678343642, 47.29622825287186], ""type"": ""Point""}"
65;SP_C_14_002;Petit Chantilly;Erdre et Cens;Orvault;Rue Kindia;face à l'Allée du Pays de Galles, Le Petit Chantilly;;Bâti;WC siège + urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;24/24;Centre ville;;"{""coordinates"": [-1.5963129666050475, 47.252636449233094], ""type"": ""Point""}"
80;SP_NM_13_007;Garennes;Nantes Ouest;Nantes;Rue des Garennes;face au n°4 le long de l'école des Garennes;;Bâti;urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;jeudi;"{""coordinates"": [-1.5789282114267233, 47.20192662214674], ""type"": ""Point""}"
84;SP_NM_13_011;Macé;Nantes Ouest;Nantes;29 Boulevard de la Liberté;proche Place Jean Macé;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;restreint;Présence d'un marché;mardi;"{""coordinates"": [-1.5891120801014529, 47.19940222910895], ""type"": ""Point""}"
91;SP_NM_13_034;Baco;Nantes Loire;Nantes;Allée de la Maison Rouge;gare routière - BACO;DECAUX;Mobilier;;oui;oui;Decaux;Decaux;Decaux;Decaux;journée;Centre ville;;"{""coordinates"": [-1.552541402951866, 47.21279586395054], ""type"": ""Point""}"
104;SP_C_13_017;Jardin des Plantes Sud;Nantes Loire;Nantes;Jardin des Plantes;Bd de Stalingrad, côté gare;;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5409807358414362, 47.218827417272706], ""type"": ""Point""}"
109;SP_NM_13_023;Piscine Dervallières;Nantes Ouest;Nantes;Rue Professeur Dubuisson;devant la piscine des Dervallières;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Parc / Espaces verts;;"{""coordinates"": [-1.59138915686489, 47.22747877846621], ""type"": ""Point""}"
120;SP_NM_13_038;Parking Tournefort;Nantes Loire;Nantes;Rue Tournefort;Sanitaire du Parking sous terrain;;Bâti;;non;oui;Nantes Métropole;NGE;NGE;NGE;journée;Centre ville;;"{""coordinates"": [-1.5514622409067633, 47.22116739601486], ""type"": ""Point""}"
130;SP_C_13_032;Ile de Versailles Capitainerie;Nantes Ouest;Nantes;Ile de Versailles - Capitainerie;Quai de Versailles;;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5536907850606485, 47.2252713614257], ""type"": ""Point""}"
4;SP_NM_09_001;Eglise;Sud-Ouest;La Montagne;Place de l'Eglise;;SAGELEC;Mobilier;siège/urinoirs;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Centre ville;;"{""coordinates"": [-1.6837068467732696, 47.189950583630335], ""type"": ""Point""}"
6;SP_NM_18_001;Mairie;Sud-Ouest;Saint-Jean-de-Boiseau;Avenue du Onze Novembre;local face à la mairie;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;;"{""coordinates"": [-1.7249621943204194, 47.195718775343586], ""type"": ""Point""}"
9;SP_C_10_001;Halles;Sud-Ouest;Le Pellerin;Rue du Dr Sourdille;à l'arrière des halles;;Bâti;;non;;Commune;Commune;Commune;Commune;;Présence d'un marché;samedi;"{""coordinates"": [-1.7551327348827008, 47.20124511848694], ""type"": ""Point""}"
18;SP_C_03_002;Champ Toury;Sud-Ouest;Bouguenais;Allée de la Communauté Rurale de Ballou;Champ Toury;;Bâti;siège;non;non;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.6293724264920044, 47.17734964866439], ""type"": ""Point""}"
26;SP_C_15_007;Cimetière St Paul;Loire Sèvre Vignoble;Rezé;Cimetière St Paul;Rue Félicien Thomazeau;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.543526704976084, 47.1847104419961], ""type"": ""Point""}"
35;SP_NM_20_003;Liberté;Loire Sèvre Vignoble;Saint-Sébastien-sur-Loire;Face au n°29 Place Alfred Radigois;proche Place de la Liberté;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Présence d'un marché;;"{""coordinates"": [-1.5177309502649237, 47.19355091685817], ""type"": ""Point""}"
37;SP_C_01_001;Salle Zodiaque;Loire Sèvre Vignoble;Basse-Goulaine;Rue de la Poste;Près de la salle zodiaque;FRANCIOLI;;;;oui;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.4659757885067262, 47.21737210482767], ""type"": ""Point""}"
48;SP_C_21_002;Plessis;Erdre et Loire;Sainte-Luce-sur-Loire;Chemin des Claudix;plan d'eau du Plessis;;;;;;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.4745055306795674, 47.244523760934946], ""type"": ""Point""}"
50;SP_NM_23_002;Cimetière de la Noë;Erdre et Loire;Thouaré-sur-Loire;Cimetière de la Noë;Chemin de la Noë;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole  bâti;Nantes Métropole - pôle;restreint;Cimetière;;"{""coordinates"": [-1.4382438361360075, 47.266295174365986], ""type"": ""Point""}"
61;SP_NM_08_001;Eglise;Erdre et Cens;La Chapelle-sur-Erdre;Place de l'Eglise;;SAGELEC;Bâti;WC siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;vendredi dimanche;"{""coordinates"": [-1.5500578180909157, 47.29921247138505], ""type"": ""Point""}"
77;SP_NM_13_005;Zola;Nantes Ouest;Nantes;Place Emile Zola;place du Marché Zola proche commerce Weldon;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Présence d'un marché;jeudi;"{""coordinates"": [-1.586893254740661, 47.213589999102055], ""type"": ""Point""}"
99;SP_C_13_015;Vertais;Nantes Loire;Nantes;Square Vertais;Boulevard des Martyrs Nantais de la Résistance;;Bâti;WC siège;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5465582782862946, 47.2020491694138], ""type"": ""Point""}"
101;SP_NM_13_016;Parc des Chantiers- Bar de la Branche;Nantes Loire;Nantes;Parc des Chantiers - Bar de la Branche;Boulevard Léon Bureau;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Véolia;Nantes Métropole - pôle;journée;Tourisme;;"{""coordinates"": [-1.56502532213689, 47.20659327655279], ""type"": ""Point""}"
122;SP_C_13_024;Crapa;Nantes Loire;Nantes;Crapa Beaulieu Parking;Rue du Pré Salé;SAGELEC;Bâti;WC siège;oui;oui;Commune;Commune;Commune;Commune;24/24;Parc / Espaces verts;;"{""coordinates"": [-1.5237334898532264, 47.210889483868904], ""type"": ""Point""}"
123;SP_C_13_025;Crapaudine;Loire Sèvre Vignoble;Nantes;Parc potager de la Crapaudine;;;Bâti;WC siège;;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5297221063920536, 47.190897496537154], ""type"": ""Point""}"
124;SP_C_13_026;Faustin Helie;Nantes Loire;Nantes;Square Faustin Hélie;Rue Faustin Hélie;;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5624877812398144, 47.21771466551263], ""type"": ""Point""}"
132;SP_C_17_003;Denis Forestier;Loire Chézine;Saint-Herblain;Square Denis Forestier;Rue de l'Aquitaine;;Bâti;à la turque/urinoirs;;non;Nantes Métropole;Nantes Métropole;Nantes Métropole;Nantes Métropole;restreint;Présence d'un marché;mardi et vendredi;"{""coordinates"": [-1.612575140841105, 47.20906320070054], ""type"": ""Point""}"
2;SP_NM_02_001;Eglise;Sud-Ouest;Bouaye;Place des Anciens Combattants;Rue de Saint Hermeland derrière léglise;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;24/24;;;"{""coordinates"": [-1.6932900374764719, 47.1445322104161], ""type"": ""Point""}"
13;SP_NM_03_002;Eglise;Sud-Ouest;Bouguenais;7 Place de l'Eglise;;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;vendredi;"{""coordinates"": [-1.6237573718410627, 47.17906549803215], ""type"": ""Point""}"
14;SP_NM_03_003;Neustrie;Sud-Ouest;Bouguenais;Station Neustrie - face Ouest du quai tram;Rue Christophe Colomb;;Bâti;;non;;Nantes Métropole;TAN;TAN;TAN;journée;Transport en commun;;"{""coordinates"": [-1.593076168371459, 47.17699981219522], ""type"": ""Point""}"
15;SP_C_03_001;Roche Ballue;Sud-Ouest;Bouguenais;Roche Ballue;Chemin de l'Estacade;;Mobilier;siège/urinoirs;non;oui;Commune;Commune;Nantes Métropole - pôle;Commune;journée;Tourisme;;"{""coordinates"": [-1.654446617606568, 47.18421236115764], ""type"": ""Point""}"
23;SP_C_15_004;Balinière;Loire Sèvre Vignoble;Rezé;Rue de la Balinière;;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5526269743432133, 47.18355020646082], ""type"": ""Point""}"
24;SP_C_15_005;La Robinière;Loire Sèvre Vignoble;Rezé;CLSH la Robinière;62 Rue de la Robinière;;Bâti;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5317782469755963, 47.16361651656845], ""type"": ""Point""}"
38;SP_NM_11_001;Face Mairie;Loire Sèvre Vignoble;Les Sorinières;Rue des Sports;Place de l'Eglise;SAGELEC;;;;oui;Nantes Métropole;Commune;Commune;Commune;journée;;jeudi;"{""coordinates"": [-1.5304514282991697, 47.1483158985779], ""type"": ""Point""}"
39;SP_NM_24_001;Garnier;Loire Sèvre Vignoble;Vertou;Route des Sorinières  Rue Auguste Garnier;près arrêt de bus Le Chêne;;;siège/urinoirs;;oui;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.4840528752470419, 47.165244795684956], ""type"": ""Point""}"
45;SP_NM_21_001;11 novembre;Erdre et Loire;Sainte-Luce-sur-Loire;Place du 11 Novembre;face au 2B Rue de la Loire;MPS;Mobilier;WC siège;oui;oui;Nantes Métropole;Commune;Nantes Métropole - pôle;Nantes Métropole;journée;;;"{""coordinates"": [-1.4867233632551171, 47.24929804869227], ""type"": ""Point""}"
53;SP_NM_13_001;Marrière;Erdre et Loire;Nantes;27 Rue de la Marrière;Marché de la Marrière, jouxtant l'école François Dallet;;Bâti;WC siège;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Présence d'un marché;vendredi;"{""coordinates"": [-1.5328524406290662, 47.234393868826565], ""type"": ""Point""}"
75;SP_NM_17_002;Lieutenant Mouillie;Loire Chézine;Saint-Herblain;Rue du Lieutenant Mouillie;face au n°17;;Bâti;à la turque/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Centre ville;;"{""coordinates"": [-1.6535919859042794, 47.211570407126295], ""type"": ""Point""}"
79;SP_C_13_009;Civelles;Nantes Ouest;Nantes;Rue des Civelles;à côté de léglise St Martin;;Bâti;siège/urinoirs;non;oui;Commune;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;;;"{""coordinates"": [-1.5927835712100167, 47.19947346387715], ""type"": ""Point""}"
90;SP_NM_13_033;Gabriel Trarieux;Nantes Loire;Nantes;Place Gabriel Trarieux;derrière léglise Notre Dame de Toutes Aides;SAGELEC;Mobilier;;oui;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;;"{""coordinates"": [-1.5228083423184358, 47.22585897919427], ""type"": ""Point""}"
96;SP_C_13_012;Cambronne;Nantes Loire;Nantes;Cours Cambronne;Rue des Cadeniers;;Bâti;siège/urinoirs;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5640296257371176, 47.21140259291327], ""type"": ""Point""}"
103;SP_NM_13_018;Parc des Chantiers - Station Prouvé;Nantes Loire;Nantes;Parc des Chantiers - Station Prouvé;Mail des Chantiers;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Véolia;Nantes Métropole - pôle;journée;Tourisme;;"{""coordinates"": [-1.5673750928615688, 47.20515576384819], ""type"": ""Point""}"
108;SP_NM_13_022;Capucins;Nantes Ouest;Nantes;Parc des Capucins;Rue Noire - à l'entrée du square des Capucins;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5634197864187065, 47.22531249820526], ""type"": ""Point""}"
114;SP_C_13_020;Procé Chateau;Nantes Ouest;Nantes;Parc de Procé - Château;Rue des Dervallières - manoir;;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.5813659851328146, 47.22313623008405], ""type"": ""Point""}"
118;SP_C_12_001;Eglise;Erdre et Loire;Mauves-sur-Loire;Place de lÉglise;Derrière l'église;;;;;;Commune;commune;commune;commune;;;;"{""coordinates"": [-1.392865328020901, 47.29519884772226], ""type"": ""Point""}"
129;SP_C_13_031;Oblates;Nantes Ouest;Nantes;Parc des Oblates;Fontaine des baronnies (aire de jeux);;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5842873973594007, 47.20073358309309], ""type"": ""Point""}"
133;SP_NM_10_003;Bikini;Sud-Ouest;Le Pellerin;Place René Coty;Rue de la Curé;MPS;Mobilier;siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;restreint;Parc / Espaces verts;;"{""coordinates"": [-1.7492192636167188, 47.20125724856947], ""type"": ""Point""}"
8;SP_NM_10_002;L'Herminier;Sud-Ouest;Le Pellerin;Place du Commandant l'Herminier;;MPS;Mobilier;siège;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Centre ville;;"{""coordinates"": [-1.7551368813416988, 47.20302854969584], ""type"": ""Point""}"
12;SP_NM_03_001;Freinet;Sud-Ouest;Bouguenais;Rue Célestin Freinet;Chemin des Ecoles;MPS;Mobilier;siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Présence d'un marché;jeudi;"{""coordinates"": [-1.5885878322256821, 47.18075479702652], ""type"": ""Point""}"
20;SP_C_15_001;Eglise;Loire Sèvre Vignoble;Rezé;Place Roger Salengro;n°17, derrière léglise;;Bâti;urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Centre ville;;"{""coordinates"": [-1.5477550535311333, 47.18457620859801], ""type"": ""Point""}"
21;SP_C_15_002;Pays de Retz;Loire Sèvre Vignoble;Rezé;Place du Pays de Retz;face n°9 Rue de Vallet;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Présence d'un marché;mardi;"{""coordinates"": [-1.562394806682478, 47.18486968200036], ""type"": ""Point""}"
